species,genus,n,total_disease_percent,total_disease_count,healthy_count,Alpheus burrow,Cyanobacteria,Ulcerative white spots disease,Predation - unknown,Pigmentation response,Drupella,Bleaching,Patchy bleaching,Crown of thorns seastar,Algal overgrowth,Paling,Coralliophila,Algal infestation,Sediment on coral,Vermited worm infestation,Unknown,Discoloration,Fish bites,Terpios overgrowth,Black band disease,Urchin infestation,Sub-acute tissue loss,White syndrome
Porites deformis,Porites,354,0.004219409282700422,3,339,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,8,0,0,0,0,0,0,3
Acropora surculosa,Acropora,3,0.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Favia maritima,Favia,4,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthastrea echinata,Acanthastrea,47,0.0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Favia stelligera,Favia,97,0.0,0,81,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0
Porites murrayensis,Porites,59,0.0,0,52,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Leptastrea spp,Leptastrea,843,0.0,0,830,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Favites crassisepta,Favites,2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Favia danae,Favia,37,0.0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Favia matthaii,Favia,96,0.0,0,82,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,9,0,0,0,0,0,0,0
Astreopora gracilis,Astreopora,2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Favia pallida,Favia,24,0.0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites cylindrica,Porites,32,0.0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Porites lichen,Porites,299,0.0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Pocillopora damicornis,Pocillopora,147,0.0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
Porites horizontalata,Porites,25,0.0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Montastraea curta,Montastraea,17,0.0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Cyphastrea chalcidicum,Cyphastrea,184,0.0,0,180,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Porites mammalata,Porites,3,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyphastrea spp,Cyphastrea,78,0.0,0,67,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,6,0,0,0,0,0,0,0
Montipora myriophthalma,Montipora,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acropora abrotanoides,Acropora,3,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acropora spp - corymbose,Acropora,2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Montipora foveolata,Montipora,15,0.0,0,11,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Favites russelli,Favites,146,0.0,0,137,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0
Montipora informis,Montipora,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psammocora haimeana,Psammocora,202,0.0,0,193,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0
Psammocora nierstraszi,Psammocora,19,0.0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Psammocora stellata,Psammocora,5,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavona chiriquiensis,Pavona,168,0.0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Pocillopora verrucosa,Pocillopora,49,0.0,0,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Pavona cactus,Pavona,6,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stylocoeniella armata,Stylocoeniella,277,0.0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
